Id,comment
발스타홍구,1부 못보신분들 : https://youtu.be/NRUhMuo8APA
최용철,주말 점심까지 책임져주는 최고의 후식 ㅋㅋㅋ
이관호,17:43초에 홍구님 즐거워하시는게 더욱 스타 할 맛이 돋아나네요...... 감사합니다... 게다가 재미까지~ 대박입니다
최재혁,알파고: 걱정할 필요없이 상대 농락하는거 보는 재미.홍구: 이번에도 질까 엄청 불안해하면서 보는 재미.
No.17,그래 홍구야 안지고 농락하니까 재미 두배다!! 파이팅 ㅋㅋㅋㅋㅋ
지니어스,컨셉 잘잡았네 알파고는 시작부터 끝까지 압도적으로 패고 홍구는 자기 손가락 믿고 방심하다 역전하는 맛이 있네 ㅋㅋ
김해댄싱머신찬호킴,4:40이 진짜 아만보 그자체인듯ㅋㅋㅋ 누가 레이스 좋은거 모르나 가스 남아 돌면 누가 안쓰겠냐ㅋㅋㅋㅋ
백향금,ㅋㅋㅋ사기맵 참교육 영상이 이젠 너무 기다려진다 피지컬로 짓밟는거 졸라 멋있어..
kayrakun12,맞는 거 같네 ㅌㅋㅋㅋㅋ 강민 방송에서 맵 절반을 포토로 도배한 애 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
홍길동,17:43 약속의 3벙커
DongwookKim,강민 의문의 패배 ㅋㅋㅋ
이건희,아 이것만 기다렸다고 진짜 ㅋㅋㅋㅋㅋㅋ
Nelsuss,18:49 교리어 생각나누 ㅋㅋㅋㅋ
엔샬,홍구는 사기맵검거하면서 실력이 좋은데 안그래도 더 좋아지는거같은게 보임 맨날 이거 사기맵 검거만 보는데 오만 패널티 다먹는데도 실력으로 밀어서 이기네 결국;;진짜 킹홍구
NeverStopKKO,역시는 역시다.홍구 멋지다. ㅋㅋㅋㅋㅋ
개미,ㅋㅋㅋㅋ 홍구 요즘 스타 컨셉 너무 좋고~~ 항상 응원합니다참고로 전 19살 ㅎㅎ 5살때부터 스타했네요ㅎ
MyungchanKim,와 홍구 진짜 잘하네
커피시러더치,인생과 마인드가짐 레전드ㅋㅋㅋ저따구로 살진 말아야징
황석호,점심 개꿀 오늘도 출근해서 기분 안좋았는데 덕분에 웃고갑니당 ㅋ
gfucicvi,파고가 홍구한테 제발 그만하자고 했던거 생각나네 ㅋㅋㅋ
kuroko,어제 썸네일이랑 오늘 썸네일 사람이 달라졌네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
임이한,오늘도 간장게장급 밥도둑
jazzmancool,요즘 홍구랑 아미TV때미 재밋게산다
희주니,홍구 편집자님! 알파고 편집자님보다 더 열심히 하셔야 합니다
LightMoon,홍구님 수험기간 점심시간에 보는 유일한 낙입니다… 저녁시간도 보게 2개 올려주세요 ㅠ
이동건,요새 운장이형도 그렇고 기사맵 패고 다니는 BJ님들 ㅠㅠ
oohggi,점심먹기전  후회하지 않을 20분
김옥걸,너무너무 잼나기 보고있습니다 . ㅋㅋ
와치,오늘도 배제하다가 맞고 시작하시네요.....
김동성,역시 홍구님 짱!!!
김재콩,메탈슬러그 bgm 개웃기네ㅋㅋㅋㅋ잘어울려
cpcpcp,30 후반 먹고 사기맵 쓰는 인생은 어떤 인생일까…?
epodlliwork,진짜 사기맵 하는애들 심리파악 까지 파악 다했네 ㅋㅋㅋ
김용환,"""주말 점심시간 최고의 만찬"""
정성환,'점심' 잘먹겠습니다~
선프,이제 홍구영상은 들어오자마자 좋아요 누르고 보는 지경이다
여동생수집가,진짜 레전드네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
말티즈는말로안해,꺼억~ 잘 보았습니다
CARINI-자동차의모든지식,ㅋㅋㅋ 대박 반전 드래곤볼 승리강민보다 잘한데 ㅋㅋㅋㅋ유튜브 올라온거 보면 더 신나서 사기맵 쓸듯 ㅎㅎㅎ
냥무룩,점심시간 최고으 선택 휴...
