Id,comment
ruserious,조금 뒷북이긴 하지만 정말 재미있게 봐왔습니다 항상 건강하시고 흥하시길 바랍니다
미아살,수고하셨습니다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
둘리,잘쉬다 오세요
김윤찬,안돼ㅠ 저 노래 오랜만이다 마지막에
김물론,힘내세요!!
협곡,ㅁㅊ ㅋㅋㅋㅋ 시간 살발하네 ㅋㅋㅋ
기분나쁜시바견,이제 제네시스파트 2해야.... ㅈ..
박현우,시험 4시간 30분 전이지만 이건 못참지 ㅋㅋ
SOOINLEE,간식이 패러 다닐때가 엊그제 같은데 벌써 시간이 이렇게 됬네요 형님
owl부엉이,아크 유튜버중 제일 브금 잘쓰는 유튜버....
우주,그래도 지금까지 수고하셨어요
IJNKASUMI,추억이다
이용화,수고했오!
퓨마,돌아와줘.....
koreaRimsu,형 보고싶어
임정하,흐어어어어ㅓ엉어어 지금까지 나오는건 다봤는데 ㅠㅠㅠ흐어어어어러엉어ㅓ엉어엉 이번엔 무슨겜 할껀가여 마크?아님 로블?
werewolf_.,대포로 아교털때가 최고였지
아크cho록뱀,시밝 오늘 450레벨 케찰 뒤짐
누.,와 최뚱이랑 아교때 진짜 오랜만이다 혼자서 알파 다털고 형 그땐 고순줄알았어내가 10시간도안됐었거든.... 이젠 아크를 떠나도 우리는 형을 계속 볼거야 우리는 형편집스탈과 가끔씩(?) 덜렁거리는 모습이 재밌거든 오늘영상에서 발전기 끈거처럼 형이 무슨게임을하든 우리는 재밌게 볼거같아 마음 잘 추스리고 준비단단히해서 와 기다리기 너무힘들어 ㅠㅠㅠ 알았지? 내가 많이 아껴 형
아크중독자,기말시간이 얼마 안남았지만 폰 압수당할 각오하고 봅니다 아크영상이 이제 당분간 안 올라온다니 이제 뭐보고사냐 ㅠㅠ
맞다yo,정말 재밌게 잘 보고 있었는데 아쉽네요. 고생 많으셨어요. 나중에라도 다시 올려주실꺼죠??????????
대갈리니,수고하셨습니다
조크,"이번기회에, 여친이 없으시다면..소개팅 하시고. ..유튜브 접지만 말아주세요.."
쭈니,모드는 뭐쓰세요?
클스마스농사꾼,군대를 가신다니 정말 슬프군요
송규민,시험치기전에 이건 않볼수 없다
뻴뢀씨씹덕,좋은 집터 살아놓고 왜 마지막이람
BESBONG,돌아와요 형
권총킬러,꼭돌아오세요!!!!!!제발................
맹맹,롤이나 요즘 쫌 유행?은 아니지만 재밌어보이는 아틀라스 어떠십니꽈
새로쒸,타이탄으로 집뿌실때 기분째졌는데
WELGII,이제는 부족 생활이다? 아캡살때 진짜 재미있게 봤는데 그거 ㄹㅇ몇번씩 정주행 해도 재미있었다  그때처럼 부족원 모아서 해봐여 아니면 공식이 쉽게 들어가긴함들지만 공식하던지... 공식도 진짜 재미있게 봤는데 나같은 놈은 못하는 대형부족도 구경해보고.. 하 암튼돌아만 와라 진짜
WELGII,다음은 아틀란티스린가요?
이찬명,제네시스2를 해보시는건 어떠세요?
OC2SH샤해,옛날영상 정주행 못참지
탑차이,이러고이제 다른겜ㅋㅋㅋㅋ
Rain,아 까비 재밌었는데 아깝네
ADATjunseo,이렇게 가는군요 팡..
냥코,아틀라스 가즈아
호랭이,아크는 하면 안되는게임인데
문코리타문,다시 복귀해주세요
김지엘,데미지 1씩뜨는거 보면 레드존에서 ss진공관 깔고 사나보네 ㅋ 끄집어 아는사람 많이 없는데 터렛타워 깔기 귀찮을때 쓰는 집터긴한데 팡님도 꾀 고인물이네
